BXTV,#genre#
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
翡翠台,http://bxtv.3a.ink/api.php?id=fct
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
POPC,http://bxtv.3a.ink/api.php?id=popc
NOW爆谷台,http://bxtv.3a.ink/api.php?id=baogu
NOW爆谷星影台,http://bxtv.3a.ink/api.php?id=xingying
中天新聞台,http://bxtv.3a.ink/api.php?id=ztxw


欣赏频道,#genre#
中天新闻,http://bxtv.3a.ink/api.php?id=ztxw
中天新闻,http://rihou.cc:555/tv/[Hk]中天新闻
中天新闻,http://rihou.cc:555/tv/[Bx]中天新闻
中天新闻,http://rihou.cc:555/tv/[ST]中天新闻
中天新闻,http://rihou.cc:555/tv/[SZ]中天新闻

tvbs新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
tvbs新闻,http://rihou.cc:555/tv/[ST]tvbS新闻
tvbs闽南,http://rihou.cc:555/tv/[Hk]tvbs闽南
tvbs闽南,http://rihou.cc:555/tv/[ST]tvbS闽南

tvbs闽南,http://cmtv.netlib.re/channel/n6db37f50.m3u8
tvbs新闻,http://cmtv.netlib.re/channel/313be55e.m3u8
中天新闻,http://cmtv.netlib.re/channel/2a347829.m3u8
中天新闻,https://smt.go-iptv.ggff.net/smart.php?id=ctinews&token=Goiptv

tvbs精采,http://cmtv.netlib.re/channel/n9663e69.m3u8
tvbs欢乐,http://cmtv.netlib.re/channel/n9ac3d61.m3u8
tvbs综艺,http://cmtv.netlib.re/channel/n9646e61.m3u8
tvbs台剧,http://cmtv.netlib.re/channel/na071477.m3u8

tvbs闽南,https://smt.go-iptv.ggff.net/smart.php?id=tvbs&token=Goiptv
tvbs欢乐,https://smt.go-iptv.ggff.net/smart.php?id=tvbshuanle_twn&token=Goiptv

Now新闻,http://rihou.cc:555/tv/[Cx]Now新闻
Now新闻,http://rihou.cc:555/tv/[Mt]Now新闻

pₒₚc电影,http://rihou.cc:555/tv/[FY]pₒₚc电影
pₒₚc电影,http://rihou.cc:555/tv/[Bx]pₒₚc电影
Now星影,http://rihou.cc:555/tv/[Hk]Now星影
Now星影,http://rihou.cc:555/tv/[Mt]Now星影
Now星影,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷,http://rihou.cc:555/tv/[Hk]Now爆谷
Now爆谷,http://rihou.cc:555/tv/[Mt]Now爆谷
Now爆谷,http://rihou.cc:555/tv/[Bx]Now爆谷

Now财经,http://rihou.cc:555/tv/[Mt]Now财经
Now直播,http://rihou.cc:555/tv/[Mt]Now直播
Now英超,http://rihou.cc:555/tv/[XS]Now英超
Now英超贰赏,http://rihou.cc:555/tv/[xsI]Now英超
Now体育壹赏,http://rihou.cc:555/tv/[XS]Now体育
Now体育,http://rihou.cc:555/tv/[Mt]Now体育
纬来体育,http://rihou.cc:555/tv/[ST]纬来体育
VIUTV'壹,http://rihou.cc:555/tv/[Mt]VIUTV壹
VIUTV'贰,http://rihou.cc:555/tv/[Mt]VIUTV贰
VIUTV'粤,http://rihou.cc:555/tv/[Mt]VIUTV粤
VIUTV'粤,http://rihou.cc:555/tv/[Cx]VIUTV粤
VIUTV'英,http://rihou.cc:555/tv/[Mt]VIUTV英
RTHK-31,http://rihou.cc:555/tv/[Mt]RTHK-31
RTHK-31,http://rihou.cc:555/tv/[Cx]RTHK-31
RTHK-32,http://rihou.cc:555/tv/[Cx]RTHK-32
wwe格斗,http://rihou.cc:555/tv/[FY]wwe格斗

SPOTV-1FYtv,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV-2FYtv,http://iptv.4666888.xyz/iptv2A.php?id=1
Football-FYtv,http://iptv.4666888.xyz/iptv2A.php?id=4
Sports-3'FYtv,http://iptv.4666888.xyz/iptv2A.php?id=3
CCTV-1,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV-2,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-4,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV-13,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV-14,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV-16,http://iptv.4666888.xyz/iptv2A.php?id=32
