🇨🇳4K频道,#genre#

北京卫视频4k,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视频4k,http://106.53.99.30/tv/api.php?id=dfws4k
浙江卫视频4k,https://play-qukan.cztv.com/live/1758879019692345.m3u8
江苏卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.64:5140
湖南卫视频4k,http://106.53.99.30/tv/api.php?id=hnws4k
广东卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.103:5140 
深圳卫视频4k,http://106.53.99.30/tv/api.php?id=szws4k
山东卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.66:5140
四川卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.62:5140
北京卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
东方卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
浙江卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
湖南卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
广东卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
深圳卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.104:5140
山东卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
四川卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140
北京卫视频4k,http://49.235.65.250:600/beijing/beijing.php?id=bjws4k
深圳卫视频4k,https://livepull-tcms.sztv.com.cn/live/sz4Kpgm.m3u8
苏州4k频道超,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4k频道超,https://event.pull.hebtv.com:443/live/live101.m3u8

CCTV-4k,http://vallest.uk/livehttpplay?channel_id=30029
CCTV-16超4k,http://qjrhc.jydjd.top:2911/udp/225.1.1.4:7523
CCTV-16超4k,http://qjrhc.jydjd.top:2911/udp/225.1.101.130:7523
CCTV-4K,http://qjrhc.jydjd.top:2911/udp/225.1.1.1:7523
CCTV-4K,http://qjrhc.jydjd.top:2911/udp/225.1.101.109:7523
北京卫视频4k,http://qjrhc.jydjd.top:2911/udp/225.1.101.72:7523
广东卫视频4k,http://qjrhc.jydjd.top:2911/udp/225.1.101.86:7523
深圳卫视频4k,http://qjrhc.jydjd.top:2911/udp/225.1.101.35:7523
广东南国超4k,http://qjrhc.jydjd.top:2911/udp/225.1.1.2:7523
广东南国超4k,http://qjrhc.jydjd.top:2911/udp/225.1.101.202:7523
广东超高清4k,http://qjrhc.jydjd.top:2911/udp/225.1.1.3:7523
广东超高清4k,http://qjrhc.jydjd.top:2911/udp/225.1.101.44:7523

北京卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.0.2:5146
北京卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.1.13:5146
北京卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.0.3:5146
广东卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.0.27:5146
广东卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.0.66:5146
深圳卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.0.67:5146
深圳卫视频4k,http://rustdesk.szsun.xyz:8088/udp/239.77.1.14:5146

央视频道,#genre#

CCTV1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV2,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

CCTV3,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv3

CCTV4,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

CCTV3,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv3

